Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-06 07 06 00.000,7.1,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,start,,day: 3 hour: 7.1 TargTemp: 5.0,
2022-10-06 07 06 20.007,7.1,13.1875,0.0,13.19,4.75,12.875,13.75,OFF,0,0,start,,day: 3 hour: 7.1 TargTemp: 5.0,
2022-10-06 07 06 40.014,7.1,13.1875,0.0,13.19,4.75,12.8125,13.6875,OFF,0,0,start,,day: 3 hour: 7.1 TargTemp: 5.0,
2022-10-06 07 07 00.020,7.12,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,start,,day: 3 hour: 7.12 TargTemp: 5.0,
2022-10-06 07 07 20.025,7.12,13.1875,0.0,13.19,4.75,12.8125,13.75,OFF,0,0,start,,day: 3 hour: 7.12 TargTemp: 5.0,
2022-10-06 07 07 40.030,7.12,13.1875,0.0,13.19,4.75,12.8125,13.6875,OFF,0,0,,day: 3 hour: 7.12 TargTemp: 5.0,
2022-10-06 07 08 00.026,7.13,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,,day: 3 hour: 7.13 TargTemp: 5.0,
2022-10-06 07 08 20.030,7.13,13.1875,0.0,13.19,4.75,12.8125,13.6875,OFF,0,0,,day: 3 hour: 7.13 TargTemp: 5.0,
2022-10-06 07 08 40.026,7.13,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,,day: 3 hour: 7.13 TargTemp: 5.0,
2022-10-06 07 09 00.030,7.15,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,,day: 3 hour: 7.15 TargTemp: 5.0,
2022-10-06 07 09 20.032,7.15,13.1875,0.0,13.19,4.75,12.8125,13.6875,OFF,0,0,,day: 3 hour: 7.15 TargTemp: 5.0,
2022-10-06 07 09 40.036,7.15,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,,day: 3 hour: 7.15 TargTemp: 5.0,
2022-10-06 07 10 00.039,7.17,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,,day: 3 hour: 7.17 TargTemp: 5.0,
2022-10-06 07 10 20.036,7.17,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,,day: 3 hour: 7.17 TargTemp: 5.0,
2022-10-06 07 10 40.038,7.17,13.1875,0.0,13.19,4.75,12.8125,13.6875,OFF,0,0,,day: 3 hour: 7.17 TargTemp: 5.0,
2022-10-06 07 11 00.041,7.18,13.1875,0.0,13.19,4.75,12.8125,13.6875,OFF,0,0,,day: 3 hour: 7.18 TargTemp: 5.0,
2022-10-06 07 11 20.043,7.18,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,,day: 3 hour: 7.18 TargTemp: 5.0,
2022-10-06 07 11 40.045,7.18,13.1875,0.0,13.19,4.75,12.875,13.6875,OFF,0,0,,day: 3 hour: 7.18 TargTemp: 5.0,
2022-10-06 07 12 00.045,7.2,13.1875,0.0,13.19,4.75,12.8125,13.6875,OFF,0,0,,day: 3 hour: 7.2 TargTemp: 5.0,
2022-10-06 07 12 20.046,7.2,13.1875,0.0,13.19,4.75,12.8125,13.6875,OFF,0,0,,day: 3 hour: 7.2 TargTemp: 5.0,
