Time,Hour in Day, Room Temp,Per 10 Mins,Predicted Temp,Target Temp,Other Temp1,OtherTemp2,heaters Status,offTime,onTime,Reason,Message,
2022-10-06 10 15 00.000,10.25,17.0625,51.19,34.12,16.0,16.6875,14.8125,OFF,0,0,start,,day: 3 hour: 10.25 TargTemp: 16.25,
2022-10-06 10 15 20.007,10.25,17.0,45.88,32.29,16.0,16.5625,14.8125,OFF,0,0,start,,day: 3 hour: 10.25 TargTemp: 16.25,
2022-10-06 10 15 40.014,10.25,16.875,40.92,30.51,16.0,16.5,14.8125,OFF,0,0,start,,day: 3 hour: 10.25 TargTemp: 16.25,
2022-10-06 10 16 00.020,10.27,16.8125,36.64,29.03,16.0,16.375,14.8125,OFF,0,0,start,,day: 3 hour: 10.27 TargTemp: 16.25,
2022-10-06 10 16 20.025,10.27,16.75,32.79,27.68,16.0,16.3125,14.8125,OFF,0,0,start,,day: 3 hour: 10.27 TargTemp: 16.25,
2022-10-06 10 25 00.047,10.42,15.5625,1.12,15.93,16.0,15.1875,14.875,ON,0,10.17,heatersON,day: 3 hour: 10.42 TargTemp: 16.25heaters Turned,
2022-10-06 10 28 40.043,10.47,16.125,1.71,16.7,16.5,15.875,14.9375,OFF,0,10.17,heaters Off,,day: 3 hour: 10.47 TargTemp: 16.25 heaters Turned OFF,
2022-10-06 10 35 40.047,10.58,15.9375,-0.58,15.74,15.75,15.5625,15.0,ON,0,7.0,heatersON,day: 3 hour: 10.58 TargTemp: 16.0heaters Turned,
2022-10-06 10 38 40.049,10.63,16.1875,0.45,16.34,16.25,15.875,15.0,OFF,0,7.0,heaters Off,,day: 3 hour: 10.63 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 10 44 40.046,10.73,16.125,-0.49,15.96,15.75,15.75,14.9375,OFF,0,7.0, MustLog, ,day: 3 hour: 10.73 TargTemp: 16.0,
2022-10-06 10 46 20.046,10.77,15.9375,-0.78,15.68,15.75,15.5,14.9375,ON,0,7.67,heatersON,day: 3 hour: 10.77 TargTemp: 16.0heaters Turned,
2022-10-06 10 49 20.051,10.82,16.25,0.53,16.43,16.25,15.875,14.9375,OFF,0,7.67,heaters Off,,day: 3 hour: 10.82 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 10 57 20.046,10.95,15.9375,-0.72,15.7,15.75,15.5,14.9375,ON,0,8.0,heatersON,day: 3 hour: 10.95 TargTemp: 16.0heaters Turned,
2022-10-06 11 00 20.052,11.0,16.25,0.58,16.44,16.25,15.8125,14.9375,OFF,0,8.0,heaters Off,,day: 3 hour: 11.0 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 11 08 00.046,11.13,16.0,-0.75,15.75,15.75,15.5625,14.9375,ON,0,7.67,heatersON,day: 3 hour: 11.13 TargTemp: 16.0heaters Turned,
2022-10-06 11 10 40.036,11.17,16.1875,0.22,16.26,16.25,15.8125,14.9375,OFF,0,7.67,heaters Off,,day: 3 hour: 11.17 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 11 14 40.052,11.23,16.6875,0.74,16.93,15.75,16.25,15.0625,OFF,0,7.67, MustLog, ,day: 3 hour: 11.23 TargTemp: 16.0,
2022-10-06 11 28 20.052,11.47,15.9375,-0.59,15.74,15.75,15.5,15.125,ON,0,17.67,heatersON,day: 3 hour: 11.47 TargTemp: 16.0heaters Turned,
2022-10-06 11 31 00.046,11.52,16.25,0.61,16.45,16.25,15.875,15.1875,OFF,0,17.67,heaters Off,,day: 3 hour: 11.52 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 11 44 40.048,11.73,16.3125,-0.15,16.26,15.75,15.875,15.1875,OFF,0,17.67, MustLog, ,day: 3 hour: 11.73 TargTemp: 16.0,
2022-10-06 12 00 00.037,12.0,15.875,-0.53,15.7,15.75,15.5,15.3125,ON,0,29.0,heatersON,day: 3 hour: 12.0 TargTemp: 16.0heaters Turned,
2022-10-06 12 02 20.046,12.03,16.125,0.44,16.27,16.25,15.75,15.5625,OFF,0,29.0,heaters Off,,day: 3 hour: 12.03 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 12 14 40.036,12.23,16.0,-0.44,15.85,15.75,15.5625,15.3125,OFF,0,29.0, MustLog, ,day: 3 hour: 12.23 TargTemp: 16.0,
2022-10-06 12 18 40.046,12.3,15.875,-0.4,15.74,15.75,15.5,15.3125,ON,0,16.33,heatersON,day: 3 hour: 12.3 TargTemp: 16.0heaters Turned,
2022-10-06 12 21 00.052,12.35,16.125,0.49,16.29,16.25,15.75,15.3125,OFF,0,16.33,heaters Off,,day: 3 hour: 12.35 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 12 35 40.046,12.58,15.875,-0.47,15.72,15.75,15.5,15.3125,ON,0,14.67,heatersON,day: 3 hour: 12.58 TargTemp: 16.0heaters Turned,
2022-10-06 12 38 00.036,12.63,16.125,0.44,16.27,16.25,15.75,15.3125,OFF,0,14.67,heaters Off,,day: 3 hour: 12.63 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 12 44 40.046,12.73,16.3125,-0.16,16.26,15.75,15.875,15.375,OFF,0,14.67, MustLog, ,day: 3 hour: 12.73 TargTemp: 16.0,
2022-10-06 12 59 40.046,12.98,15.8125,-0.37,15.69,15.75,15.4375,15.5,ON,0,21.67,heatersON,day: 3 hour: 12.98 TargTemp: 16.0heaters Turned,
2022-10-06 13 02 20.046,13.03,16.25,0.98,16.58,16.25,15.8125,15.5,OFF,0,21.67,heaters Off,,day: 3 hour: 13.03 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 13 14 40.048,13.23,16.0,-0.44,15.85,15.75,15.5625,15.5,OFF,0,21.67, MustLog, ,day: 3 hour: 13.23 TargTemp: 16.0,
2022-10-06 13 18 00.051,13.3,15.875,-0.43,15.73,15.75,15.5,15.5625,ON,0,15.67,heatersON,day: 3 hour: 13.3 TargTemp: 16.0heaters Turned,
2022-10-06 13 20 20.046,13.33,16.1875,0.63,16.4,16.25,15.8125,15.5625,OFF,0,15.67,heaters Off,,day: 3 hour: 13.33 TargTemp: 16.0 heaters Turned OFF,
2022-10-06 13 44 40.047,13.73,15.9375,-0.07,15.91,15.75,15.5,15.6875,OFF,0,15.67, MustLog, ,day: 3 hour: 13.73 TargTemp: 16.0,
2022-10-06 14 14 40.048,14.23,16.0,0.01,16.0,15.75,15.5625,15.75,OFF,0,15.67, MustLog, ,day: 3 hour: 14.23 TargTemp: 16.0,
